# Generated by MIB Browser
# Version 8.0.3
# 4/14/2026 4:12:36 PM
#
# HUA-MALIR-100.19
# 16:12  04:12 PM
MIB	"OID Name"	Value
HUAWEI-TC-MIB	ifOperStatus.4194304000	up(1)
HUAWEI-TC-MIB	ifOperStatus.4194304256	up(1)
HUAWEI-TC-MIB	ifOperStatus.4194304512	up(1)
HUAWEI-TC-MIB	ifOperStatus.4194304768	down(2)
HUAWEI-TC-MIB	ifOperStatus.4194305024	down(2)
HUAWEI-TC-MIB	ifOperStatus.4194305280	down(2)
HUAWEI-TC-MIB	ifOperStatus.4194305536	up(1)
HUAWEI-TC-MIB	ifOperStatus.4194305792	up(1)
HUAWEI-TC-MIB	ifOperStatus.4194306048	down(2)
HUAWEI-TC-MIB	ifOperStatus.4194306304	down(2)
HUAWEI-TC-MIB	ifOperStatus.4194306560	down(2)
HUAWEI-TC-MIB	ifOperStatus.4194306816	down(2)
HUAWEI-TC-MIB	ifOperStatus.4194307072	down(2)
HUAWEI-TC-MIB	ifOperStatus.4194307328	down(2)
HUAWEI-TC-MIB	ifOperStatus.4194307584	down(2)
HUAWEI-TC-MIB	ifOperStatus.4194307840	down(2)
HUAWEI-TC-MIB	ifOperStatus.4194312192	down(2)
HUAWEI-TC-MIB	ifOperStatus.4194312448	up(1)
HUAWEI-TC-MIB	ifOperStatus.4194312704	down(2)
HUAWEI-TC-MIB	ifOperStatus.4194312960	down(2)
HUAWEI-TC-MIB	ifOperStatus.4194313216	down(2)
HUAWEI-TC-MIB	ifOperStatus.4194313472	down(2)
HUAWEI-TC-MIB	ifOperStatus.4194313728	down(2)
HUAWEI-TC-MIB	ifOperStatus.4194313984	down(2)
HUAWEI-TC-MIB	ifOperStatus.4194314240	down(2)
HUAWEI-TC-MIB	ifOperStatus.4194314496	down(2)
HUAWEI-TC-MIB	ifOperStatus.4194314752	down(2)
HUAWEI-TC-MIB	ifOperStatus.4194315008	up(1)
HUAWEI-TC-MIB	ifOperStatus.4194315264	up(1)
HUAWEI-TC-MIB	ifOperStatus.4194315520	down(2)
HUAWEI-TC-MIB	ifOperStatus.4194315776	up(1)
HUAWEI-TC-MIB	ifOperStatus.4194316032	up(1)
IF-MIB	ifLastChange.128	"0.00 seconds"
IF-MIB	ifLastChange.262	"0.00 seconds"
IF-MIB	ifLastChange.263	"17 minutes, 7 seconds"
IF-MIB	ifLastChange.234905600	"12 minutes, 19 seconds"
IF-MIB	ifLastChange.234905664	"9 minutes, 14 seconds"
IF-MIB	ifLastChange.234905728	"49 days, 13 hours, 49 minutes, 42 seconds"
IF-MIB	ifLastChange.234905792	"12 minutes, 37 seconds"
IF-MIB	ifLastChange.3221250304	"12 seconds"
IF-MIB	ifLastChange.4194304000	"10 days, 14 hours, 31 minutes, 41 seconds"
IF-MIB	ifLastChange.4194304256	"112 days, 12 hours, 15 minutes, 53 seconds"
IF-MIB	ifLastChange.4194304512	"112 days, 11 hours, 40 minutes, 11 seconds"
IF-MIB	ifLastChange.4194304768	"0.00 seconds"
IF-MIB	ifLastChange.4194305024	"0.00 seconds"
IF-MIB	ifLastChange.4194305280	"0.00 seconds"
IF-MIB	ifLastChange.4194305536	"97 days, 13 hours, 44 minutes, 14 seconds"
IF-MIB	ifLastChange.4194305792	"97 days, 13 hours, 28 seconds"
IF-MIB	ifLastChange.4194306048	"0.00 seconds"
IF-MIB	ifLastChange.4194306304	"0.00 seconds"
IF-MIB	ifLastChange.4194306560	"0.00 seconds"
IF-MIB	ifLastChange.4194306816	"0.00 seconds"
IF-MIB	ifLastChange.4194307072	"0.00 seconds"
IF-MIB	ifLastChange.4194307328	"0.00 seconds"
IF-MIB	ifLastChange.4194307584	"0.00 seconds"
IF-MIB	ifLastChange.4194307840	"0.00 seconds"
IF-MIB	ifLastChange.4194312192	"0.00 seconds"
IF-MIB	ifLastChange.4194312448	"97 days, 13 hours, 4 minutes, 36 seconds"
IF-MIB	ifLastChange.4194312704	"0.00 seconds"
IF-MIB	ifLastChange.4194312960	"0.00 seconds"
IF-MIB	ifLastChange.4194313216	"0.00 seconds"
IF-MIB	ifLastChange.4194313472	"0.00 seconds"
IF-MIB	ifLastChange.4194313728	"0.00 seconds"
IF-MIB	ifLastChange.4194313984	"0.00 seconds"
IF-MIB	ifLastChange.4194314240	"0.00 seconds"
IF-MIB	ifLastChange.4194314496	"0.00 seconds"
IF-MIB	ifLastChange.4194314752	"0.00 seconds"
IF-MIB	ifLastChange.4194315008	"116 days, 10 hours, 55 minutes, 7 seconds"
IF-MIB	ifLastChange.4194315264	"116 days, 18 hours, 33 minutes, 53 seconds"
IF-MIB	ifLastChange.4194315520	"0.00 seconds"
IF-MIB	ifLastChange.4194315776	"14 hours, 47 minutes, 9 seconds"
IF-MIB	ifLastChange.4194316032	"97 days, 13 hours, 18 minutes, 40 seconds"
IF-MIB	ifInOctets.128	0
IF-MIB	ifInOctets.262	0
IF-MIB	ifInOctets.263	0
IF-MIB	ifInOctets.234905600	3218343870
IF-MIB	ifInOctets.234905664	490918579
IF-MIB	ifInOctets.234905728	4179364610
IF-MIB	ifInOctets.234905792	2925003310
IF-MIB	ifInOctets.3221250304	4294967295
IF-MIB	ifInOctets.4194304000	3462010839
IF-MIB	ifInOctets.4194304256	2561315095
IF-MIB	ifInOctets.4194304512	3053542077
IF-MIB	ifInOctets.4194304768	0
IF-MIB	ifInOctets.4194305024	0
IF-MIB	ifInOctets.4194305280	0
IF-MIB	ifInOctets.4194305536	4276047722
IF-MIB	ifInOctets.4194305792	2480320085
IF-MIB	ifInOctets.4194306048	0
IF-MIB	ifInOctets.4194306304	0
IF-MIB	ifInOctets.4194306560	0
IF-MIB	ifInOctets.4194306816	0
IF-MIB	ifInOctets.4194307072	0
IF-MIB	ifInOctets.4194307328	0
IF-MIB	ifInOctets.4194307584	0
IF-MIB	ifInOctets.4194307840	0
IF-MIB	ifInOctets.4194312192	0
IF-MIB	ifInOctets.4194312448	2549231859
IF-MIB	ifInOctets.4194312704	0
IF-MIB	ifInOctets.4194312960	0
IF-MIB	ifInOctets.4194313216	0
IF-MIB	ifInOctets.4194313472	0
IF-MIB	ifInOctets.4194313728	0
IF-MIB	ifInOctets.4194313984	0
IF-MIB	ifInOctets.4194314240	0
IF-MIB	ifInOctets.4194314496	0
IF-MIB	ifInOctets.4194314752	0
IF-MIB	ifInOctets.4194315008	3443130802
IF-MIB	ifInOctets.4194315264	1529972798
IF-MIB	ifInOctets.4194315520	0
IF-MIB	ifInOctets.4194315776	2259600381
IF-MIB	ifInOctets.4194316032	3184253167
IF-MIB	ifInUcastPkts.128	0
IF-MIB	ifInUcastPkts.262	0
IF-MIB	ifInUcastPkts.263	0
IF-MIB	ifInUcastPkts.234905600	940743923
IF-MIB	ifInUcastPkts.234905664	1407840185
IF-MIB	ifInUcastPkts.234905728	3591214754
IF-MIB	ifInUcastPkts.234905792	1143209317
IF-MIB	ifInUcastPkts.3221250304	4294967295
IF-MIB	ifInUcastPkts.4194304000	526720282
IF-MIB	ifInUcastPkts.4194304256	36612914
IF-MIB	ifInUcastPkts.4194304512	3492368408
IF-MIB	ifInUcastPkts.4194304768	0
IF-MIB	ifInUcastPkts.4194305024	0
IF-MIB	ifInUcastPkts.4194305280	0
IF-MIB	ifInUcastPkts.4194305536	4260650389
IF-MIB	ifInUcastPkts.4194305792	2534448775
IF-MIB	ifInUcastPkts.4194306048	0
IF-MIB	ifInUcastPkts.4194306304	0
IF-MIB	ifInUcastPkts.4194306560	0
IF-MIB	ifInUcastPkts.4194306816	0
IF-MIB	ifInUcastPkts.4194307072	0
IF-MIB	ifInUcastPkts.4194307328	0
IF-MIB	ifInUcastPkts.4194307584	0
IF-MIB	ifInUcastPkts.4194307840	0
IF-MIB	ifInUcastPkts.4194312192	0
IF-MIB	ifInUcastPkts.4194312448	4172696387
IF-MIB	ifInUcastPkts.4194312704	0
IF-MIB	ifInUcastPkts.4194312960	0
IF-MIB	ifInUcastPkts.4194313216	0
IF-MIB	ifInUcastPkts.4194313472	0
IF-MIB	ifInUcastPkts.4194313728	0
IF-MIB	ifInUcastPkts.4194313984	0
IF-MIB	ifInUcastPkts.4194314240	0
IF-MIB	ifInUcastPkts.4194314496	0
IF-MIB	ifInUcastPkts.4194314752	0
IF-MIB	ifInUcastPkts.4194315008	1384503929
IF-MIB	ifInUcastPkts.4194315264	1749408593
IF-MIB	ifInUcastPkts.4194315520	0
IF-MIB	ifInUcastPkts.4194315776	3371499276
IF-MIB	ifInUcastPkts.4194316032	560089902
IF-MIB	ifInDiscards.128	0
IF-MIB	ifInDiscards.262	0
IF-MIB	ifInDiscards.263	0
IF-MIB	ifInDiscards.234905600	46200324
IF-MIB	ifInDiscards.234905664	0
IF-MIB	ifInDiscards.234905728	1930824777
IF-MIB	ifInDiscards.234905792	55383717
IF-MIB	ifInDiscards.3221250304	4294967295
IF-MIB	ifInDiscards.4194304000	13
IF-MIB	ifInDiscards.4194304256	12926948
IF-MIB	ifInDiscards.4194304512	12756054
IF-MIB	ifInDiscards.4194304768	0
IF-MIB	ifInDiscards.4194305024	0
IF-MIB	ifInDiscards.4194305280	0
IF-MIB	ifInDiscards.4194305536	13592100
IF-MIB	ifInDiscards.4194305792	4455867
IF-MIB	ifInDiscards.4194306048	0
IF-MIB	ifInDiscards.4194306304	0
IF-MIB	ifInDiscards.4194306560	0
IF-MIB	ifInDiscards.4194306816	0
IF-MIB	ifInDiscards.4194307072	0
IF-MIB	ifInDiscards.4194307328	0
IF-MIB	ifInDiscards.4194307584	0
IF-MIB	ifInDiscards.4194307840	0
IF-MIB	ifInDiscards.4194312192	0
IF-MIB	ifInDiscards.4194312448	1452278
IF-MIB	ifInDiscards.4194312704	0
IF-MIB	ifInDiscards.4194312960	0
IF-MIB	ifInDiscards.4194313216	0
IF-MIB	ifInDiscards.4194313472	0
IF-MIB	ifInDiscards.4194313728	0
IF-MIB	ifInDiscards.4194313984	0
IF-MIB	ifInDiscards.4194314240	0
IF-MIB	ifInDiscards.4194314496	0
IF-MIB	ifInDiscards.4194314752	0
IF-MIB	ifInDiscards.4194315008	2197353
IF-MIB	ifInDiscards.4194315264	45089889
IF-MIB	ifInDiscards.4194315520	0
IF-MIB	ifInDiscards.4194315776	19107468
IF-MIB	ifInDiscards.4194316032	20738225
IF-MIB	ifInErrors.128	0
IF-MIB	ifInErrors.262	0
IF-MIB	ifInErrors.263	0
IF-MIB	ifInErrors.234905600	0
IF-MIB	ifInErrors.234905664	0
IF-MIB	ifInErrors.234905728	0
IF-MIB	ifInErrors.234905792	3
IF-MIB	ifInErrors.3221250304	4294967295
IF-MIB	ifInErrors.4194304000	13
IF-MIB	ifInErrors.4194304256	12926948
IF-MIB	ifInErrors.4194304512	12756054
IF-MIB	ifInErrors.4194304768	0
IF-MIB	ifInErrors.4194305024	0
IF-MIB	ifInErrors.4194305280	0
IF-MIB	ifInErrors.4194305536	13592100
IF-MIB	ifInErrors.4194305792	4455867
IF-MIB	ifInErrors.4194306048	0
IF-MIB	ifInErrors.4194306304	0
IF-MIB	ifInErrors.4194306560	0
IF-MIB	ifInErrors.4194306816	0
IF-MIB	ifInErrors.4194307072	0
IF-MIB	ifInErrors.4194307328	0
IF-MIB	ifInErrors.4194307584	0
IF-MIB	ifInErrors.4194307840	0
IF-MIB	ifInErrors.4194312192	0
IF-MIB	ifInErrors.4194312448	1452278
IF-MIB	ifInErrors.4194312704	0
IF-MIB	ifInErrors.4194312960	0
IF-MIB	ifInErrors.4194313216	0
IF-MIB	ifInErrors.4194313472	0
IF-MIB	ifInErrors.4194313728	0
IF-MIB	ifInErrors.4194313984	0
IF-MIB	ifInErrors.4194314240	0
IF-MIB	ifInErrors.4194314496	0
IF-MIB	ifInErrors.4194314752	0
IF-MIB	ifInErrors.4194315008	2197353
IF-MIB	ifInErrors.4194315264	45089890
IF-MIB	ifInErrors.4194315520	0
